"siteID","Sites","Description","Soil.characteristics","Products","Economic.interests","Other.services","Hypothetical.combinations","Link","lat","lon"
229,"Lat: 50.841027, Lng: 5.299432","","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
Higher productivity
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",50.841027,5.299432
230,"Lat: 50.837338, Lng: 5.364039","","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",50.837338,5.364039
231,"Lat: 43.67957172737025, Lng: 10.344673456976997","Silvopastoral system (woody and livestock incl. grazed permanet crops)","","","","","","Agroforestry Map of Europe - DigitAF",43.6795717273703,10.344673456977
232,"Lat: 43.2288125, Lng: 11.1930625","","","","","","","Agroforestry Map of Europe - DigitAF",43.2288125,11.1930625
233,"Lat: 42.9889375, Lng: 12.5510625","","","(Intended) use of trees:
food production (e.g. production fruit/nut)","","","","Agroforestry Map of Europe - DigitAF",42.9889375,12.5510625
234,"Lat: 42.7581875, Lng: 12.1744375","","","","","","","Agroforestry Map of Europe - DigitAF",42.7581875,12.1744375
235,"Lat: 54.296596, Lng: 10.688752","","","(Intended) use of trees:
food production (e.g. production fruit/nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Contribution to climate protection / resilience
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",54.296596,10.688752
236,"Lat: 54.224058, Lng: 10.170741","","","(Intended) use of trees:
production biofuel wood
production stemwood
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)

Other agroforestry products: Futterlaub für MilchviehMostobstEsskastanien (Mehl/ Nahrungsmittel)Holzhackschnitzel","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Diversified product range
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",54.224058,10.170741
237,"Lat: 53.7147, Lng: 9.645479","","","(Intended) use of trees:
production biofuel wood
other material use","","Motivation/rationale for establishing or maintaining agroforestry system:
Diversified product range
Protective effect for livestock
improved marketing","","Agroforestry Map of Europe - DigitAF",53.7147,9.645479
238,"Lat: 53.440789, Lng: 9.805674","","","(Intended) use of trees:
production biofuel wood
other material use","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",53.440789,9.805674
239,"Lat: 53.2068, Lng: 9.24733","","susceptibility to erosion","(Intended) use of trees:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",53.2068,9.24733
240,"Lat: 53.151708, Lng: 10.299143","","","(Intended) use of trees:
production biofuel wood

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)                      ","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",53.151708,10.299143
241,"Lat: 52.939025, Lng: 10.481996","","","(Intended) use of trees:
production biofuel wood","","Motivation/rationale for establishing or maintaining agroforestry system:
Contribution to climate protection / resilience
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",52.939025,10.481996
242,"Lat: 52.22572, Lng: 10.05491","","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Diversified product range
Contribution to climate protection / resilience
Protective effect for livestock
improved marketing","","Agroforestry Map of Europe - DigitAF",52.22572,10.05491
243,"Lat: 52.7399677, Lng: 8.1563346","","","(Intended) use of trees:
food production (e.g. production fruit/nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance","","Agroforestry Map of Europe - DigitAF",52.7399677,8.1563346
244,"Lat: 53.11572645, Lng: 7.95133207894883","","","(Intended) use of trees:
food production (e.g. production fruit/nut)
(Intended) use of the shrubs:
food production (e.g. production fruit / nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Diversified product range","","Agroforestry Map of Europe - DigitAF",53.11572645,7.95133207894883
245,"Lat: 53.5028519, Lng: 7.3544598","","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Diversified product range
Contribution to climate protection / resilience
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",53.5028519,7.3544598
246,"Lat: 53.479859, Lng: 7.605687","","","(Intended) use of trees:
production biofuel wood","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",53.479859,7.605687
247,"Lat: 52.612879, Lng: 7.095663","","","(Intended) use of trees:
production biofuel wood
other material use","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",52.612879,7.095663
248,"Lat: 52.82859085, Lng: 11.958854998988375","","","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
Higher productivity
Diversified product range
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",52.82859085,11.9588549989884
249,"Lat: 52.68826, Lng: 13.190127","","","(Intended) use of trees:
food production (e.g. production fruit/nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
Diversified product range","","Agroforestry Map of Europe - DigitAF",52.68826,13.190127
250,"Lat: 52.2423936, Lng: 13.2926438","","drought / low water holding capacity
low soil fertility
susceptibility to erosion
species-poor site
landscape with few structures / landscaope elements","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Diversified product range
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",52.2423936,13.2926438
251,"Lat: 52.386357, Lng: 14.274659","","drought / low water holding capacity
low soil fertility
susceptibility to erosion","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
other material use

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Reduce nutrient input into surface waters
Diversified product range
Contribution to climate protection / resilience
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",52.386357,14.274659
252,"Lat: 52.375556, Lng: 14.289944","","drought / low water holding capacity
low soil fertility
susceptibility to erosion","(Intended) use of trees:
production biofuel wood

(Intended) use of the shrubs:
production biofuel wood","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Reduce nutrient input into surface waters","","Agroforestry Map of Europe - DigitAF",52.375556,14.289944
253,"Lat: 51.48653526946229, Lng: 14.304894726716027","","drought / low water holding capacity
low soil fertility
landscape with few structures / landscaope elements","(Intended) use of trees:
production biofuel wood
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Contribution to climate protection / resilience
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",51.4865352694623,14.304894726716
254,"Lat: 51.056092443052336, Lng: 12.762339514746285","","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
other material use

(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Diversified product range
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",51.0560924430523,12.7623395147463
255,"Lat: 50.168649, Lng: 11.609782","","","(Intended) use of trees:
production biofuel wood","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",50.168649,11.609782
256,"Lat: 51.9253408, Lng: 8.369726","","","(Intended) use of trees:
production biofuel wood","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",51.9253408,8.369726
257,"Lat: 51.670309, Lng: 8.321753","","","(Intended) use of trees:
production biofuel wood
other material use","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",51.670309,8.321753
258,"Lat: 51.566667, Lng: 9.415026","","","(Intended) use of trees:
food production (e.g. production fruit/nut)
other material use

Other agroforestry products: ÄpfelEsskatanienKirschenPflaumen","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Reduce nutrient input into surface waters
Diversified product range
Contribution to climate protection / resilience
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",51.566667,9.415026
259,"Lat: 51.566531, Lng: 9.520703","","","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

Other agroforestry products: Flechtweiden","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Reduce nutrient input into surface waters
Diversified product range
Contribution to climate protection / resilience
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",51.566531,9.520703
260,"Lat: 51.298540447303694, Lng: 9.828227337993033","","drought / low water holding capacity
low soil fertility
susceptibility to erosion","(Intended) use of trees:
food production (e.g. production fruit/nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Reduce nutrient input into surface waters
Diversified product range
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",51.2985404473037,9.82822733799303
261,"Lat: 51.2867329, Lng: 10.0086755","","","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
Diversified product range
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",51.2867329,10.0086755
262,"Lat: 51.025467, Lng: 9.171133","","","(Intended) use of trees:
production biofuel wood","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",51.025467,9.171133
263,"Lat: 51.061464, Lng: 9.636946","","","(Intended) use of trees:
production biofuel wood","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",51.061464,9.636946
264,"Lat: 50.76477425, Lng: 9.801371750000005","","","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Contribution to climate protection / resilience
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",50.76477425,9.80137175
265,"Lat: 50.6117346, Lng: 10.1156849","","drought / low water holding capacity
low soil fertility","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Diversified product range
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",50.6117346,10.1156849
266,"Lat: 51.112722, Lng: 6.856555","","","(Intended) use of trees:
production biofuel wood
other material use","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",51.112722,6.856555
267,"Lat: 50.86374, Lng: 6.740386779889589","","","Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Diversified product range
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",50.86374,6.74038677988959
268,"Lat: 50.62044, Lng: 6.3438","","low soil fertility
species-poor site","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

Other agroforestry products: MirabellenZwetschenReben","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Diversified product range","","Agroforestry Map of Europe - DigitAF",50.62044,6.3438
269,"Lat: 50.4769441, Lng: 6.823025786877322","","drought / low water holding capacity
low soil fertility
susceptibility to erosion","(Intended) use of trees:
production biofuel wood
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
other material use

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

Other agroforestry products: ökologische Effekte durch Optimierung des Wasserhaushalts mit minimalem Eingriff","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Diversified product range
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",50.4769441,6.82302578687732
270,"Lat: 50.025433, Lng: 6.4809576","","","(Intended) use of trees:
production biofuel wood
other material use","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",50.025433,6.4809576
271,"Lat: 49.99407085, Lng: 6.945119708483148","","","(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",49.99407085,6.94511970848315
272,"Lat: 50.78009, Lng: 8.210381","","","(Intended) use of trees:
production biofuel wood","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",50.78009,8.210381
273,"Lat: 50.617821, Lng: 8.565687","","","(Intended) use of trees:
production biofuel wood","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock
improved marketing","","Agroforestry Map of Europe - DigitAF",50.617821,8.565687
274,"Lat: 50.393415, Lng: 8.253265","","","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Diversified product range
Contribution to climate protection / resilience
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",50.393415,8.253265
275,"Lat: 49.772577, Lng: 7.702909","","","(Intended) use of trees:
food production (e.g. production fruit/nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Contribution to climate protection / resilience
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",49.772577,7.702909
276,"Lat: 49.930174, Lng: 8.221104","","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","","","Agroforestry Map of Europe - DigitAF",49.930174,8.221104
277,"Lat: 49.872934, Lng: 8.683687","","","(Intended) use of trees:
production biofuel wood","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",49.872934,8.683687
278,"Lat: 49.6793582, Lng: 9.2494621","","","(Intended) use of trees:
production biofuel wood
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
production biofuel wood
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Reduce nutrient input into surface waters
Diversified product range
Contribution to climate protection / resilience
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",49.6793582,9.2494621
279,"Lat: 49.686621, Lng: 10.34493","","drought / low water holding capacity","(Intended) use of trees:
production stemwood
(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","","","Agroforestry Map of Europe - DigitAF",49.686621,10.34493
280,"Lat: 49.666383, Lng: 10.350459","","drought / low water holding capacity","(Intended) use of trees:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance","","Agroforestry Map of Europe - DigitAF",49.666383,10.350459
281,"Lat: 49.068307, Lng: 8.80632","","","(Intended) use of trees:
production biofuel wood","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",49.068307,8.80632
282,"Lat: 49.226255, Lng: 10.73038","","","(Intended) use of trees:
production biofuel wood","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",49.226255,10.73038
283,"Lat: 48.177197, Lng: 8.100598","","drought / low water holding capacity
susceptibility to erosion","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Reduce nutrient input into surface waters
Diversified product range
Contribution to climate protection / resilience
Protective effect for livestock
Landscape / aesthetics
improved marketing","","Agroforestry Map of Europe - DigitAF",48.177197,8.100598
284,"Lat: 47.954599, Lng: 8.429088","","","(Intended) use of trees:
production biofuel wood
other material use","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",47.954599,8.429088
285,"Lat: 48.458244, Lng: 8.937969","","","(Intended) use of trees:
production biofuel wood
other material use","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",48.458244,8.937969
286,"Lat: 48.692032, Lng: 9.517333","","","(Intended) use of trees:
production biofuel wood","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",48.692032,9.517333
287,"Lat: 48.4835275, Lng: 9.9051749","","","(Intended) use of trees:
production biofuel wood
other material use","","Motivation/rationale for establishing or maintaining agroforestry system:
Diversified product range
Protective effect for livestock
improved marketing","","Agroforestry Map of Europe - DigitAF",48.4835275,9.9051749
288,"Lat: 48.718002, Lng: 9.825216","","","(Intended) use of trees:
other material use","","Motivation/rationale for establishing or maintaining agroforestry system:
Diversified product range
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",48.718002,9.825216
289,"Lat: 48.695293, Lng: 9.828001","","","(Intended) use of trees:
other material use","","Motivation/rationale for establishing or maintaining agroforestry system:
Diversified product range
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",48.695293,9.828001
290,"Lat: 48.671891, Lng: 9.828796","","","(Intended) use of trees:
other material use","","Motivation/rationale for establishing or maintaining agroforestry system:
Diversified product range
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",48.671891,9.828796
291,"Lat: 48.0290142, Lng: 11.13880424551282","","","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Diversified product range
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",48.0290142,11.1388042455128
292,"Lat: 48.431102, Lng: 10.716485","","","(Intended) use of trees:
other material use","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock
improved marketing","","Agroforestry Map of Europe - DigitAF",48.431102,10.716485
293,"Lat: 48.6788333, Lng: 11.4086158","","","(Intended) use of trees:
production biofuel wood
other material use","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock
improved marketing","","Agroforestry Map of Europe - DigitAF",48.6788333,11.4086158
294,"Lat: 49.136914, Lng: 12.02399","","drought / low water holding capacity
low soil fertility","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Reduce nutrient input into surface waters
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",49.136914,12.02399
295,"Lat: 48.994192, Lng: 12.227199","","","(Intended) use of trees:
production biofuel wood","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",48.994192,12.227199
296,"Lat: 48.897575, Lng: 11.956513","","","","","Motivation/rationale for establishing or maintaining agroforestry system:
ökologisches Gleichgewicht herstellen
Vielfältigere Produktpalette
verbesserte Vermarktung","","Agroforestry Map of Europe - DigitAF",48.897575,11.956513
297,"Lat: 48.776555, Lng: 11.967412","","","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
production biofuel wood
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
other material use","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Diversified product range
improved marketing","","Agroforestry Map of Europe - DigitAF",48.776555,11.967412
298,"Lat: 48.766572, Lng: 11.990887","","","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
other material use

Other agroforestry products: BienenSchafe geplant","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Diversified product range
improved marketing","","Agroforestry Map of Europe - DigitAF",48.766572,11.990887
299,"Lat: 48.75998, Lng: 11.986595","","","(Intended) use of trees:
food production (e.g. production fruit/nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Diversified product range
improved marketing","","Agroforestry Map of Europe - DigitAF",48.75998,11.986595
300,"Lat: 48.757264, Lng: 11.977844","","","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
production biofuel wood
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
other material use","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
improved marketing","","Agroforestry Map of Europe - DigitAF",48.757264,11.977844
301,"Lat: 48.7687988, Lng: 11.9722551","","","(Intended) use of trees:
food production (e.g. production fruit/nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Diversified product range
improved marketing","","Agroforestry Map of Europe - DigitAF",48.7687988,11.9722551
302,"Lat: 48.432778, Lng: 12.947962","","","(Intended) use of trees:
production biofuel wood","","Motivation/rationale for establishing or maintaining agroforestry system:
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",48.432778,12.947962
303,"Lat: 54.39899508, Lng: -6.609903096","This site is located at Agri-Food and Biosciences Institute (AFBI) research centre in Loughgall, County Armagh, Northern Ireland, UK, approximately 35 m above sea level. It was established in 1989 as part of the UK National Network Experiments. The silvopastoral system in this site includes 3 replications of 3 land uses; I) silvopastoral system with ash trees (Fraxinus excelsior L.), II) woodland planted with ash trees, and III) permanent grassland. The silvopastoral and woodland plots were originally planted at 400 stems ha-1 (5 x 5 m spacing) and 2500 stems ha-1 (2 x2 m spacing) respectively.","","(Intended) use of trees:
production stemwood
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Contribution to climate protection / resilience
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",54.39899508,-6.609903096
304,"Lat: 52.919255, Lng: -3.073292","Temple Fields is an experimental site occupying 7acres in North Shropshire. We've transitioned a sheep pasture into mixed site with Fruit Trees, Arable rotation, SRC and Timber trees. We're measuring carbon sequestration, food production, biodiversity changes and productivity.","","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Diversified product range
Contribution to climate protection / resilience
Protective effect for livestock","","Agroforestry Map of Europe - DigitAF",52.919255,-3.073292
305,"Lat: 52.645648, Lng: -0.88733375","Alley cropping system with fruit and nut trees and herbal leys and willow for livestock fodder.","drought / low water holding capacity
species-poor site
landscape with few structures / landscaope elements","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Diversified product range
Contribution to climate protection / resilience
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",52.645648,-0.88733375
306,"Lat: 51.8976, Lng: -1.4089","Heritage orchard of old Oxfordshire varieties spaced so livestock can be grazed, shelterbelts, woodland as part of natural flood management.","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Erosion protection
Contribution to climate protection / resilience
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",51.8976,-1.4089
307,"Lat: 52.1432, Lng: 0.74292","Large range of hardwood species planted in 2020 on organic farm in strips on arable fields and pasture.","","(Intended) use of trees:
production biofuel wood
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)

(Intended) use of the shrubs:
production biofuel wood
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)

","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Contribution to climate protection / resilience
Protective effect for livestock
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",52.1432,0.74292
